方法,分类,注释,参数,解释,例子
bond_zh_hs_cov_daily,债券-沪深债券,"新浪财经-债券-沪深可转债的历史行情数据, 大量抓取容易封 IP",symbol,"新浪财经-债券-沪深可转债的历史行情数据, 大量抓取容易封 IP\nhttps://vip.stock.finance.sina.com.cn/mkt/#hskzz_z\n:param symbol: 沪深可转债代码; e.g., sh010107\n:type symbol: str\n:return: 指定沪深可转债代码的日 K 线数据\n:rtype: pandas.DataFrame",
bond_zh_hs_cov_min,债券-沪深债券,东方财富网-可转债-分时行情,symbol;period;adjust;start_date;end_date,"东方财富网-可转债-分时行情\nhttps://quote.eastmoney.com/concept/sz128039.html\n:param symbol: 转债代码\n:type symbol: str\n:param period: choice of {'1', '5', '15', '30', '60'}\n:type period: str\n:param adjust: choice of {'', 'qfq', 'hfq'}\n:type adjust: str\n:param start_date: 开始日期\n:type start_date: str\n:param end_date: 结束日期\n:type end_date: str\n:return: 分时行情\n:rtype: pandas.DataFrame",
bond_zh_hs_cov_pre_min,债券-沪深债券,东方财富网-可转债-分时行情-盘前,symbol,东方财富网-可转债-分时行情-盘前\nhttps://quote.eastmoney.com/concept/sz128039.html\n:param symbol: 转债代码\n:type symbol: str\n:return: 分时行情-盘前\n:rtype: pandas.DataFrame,
bond_zh_hs_cov_spot,债券-沪深债券,新浪财经-债券-沪深可转债的实时行情数据; 大量抓取容易封IP,,新浪财经-债券-沪深可转债的实时行情数据; 大量抓取容易封IP\nhttps://vip.stock.finance.sina.com.cn/mkt/#hskzz_z\n:return: 所有沪深可转债在当前时刻的实时行情数据\n:rtype: pandas.DataFrame,
bond_zh_hs_daily,债券-沪深债券,"新浪财经-债券-沪深债券-历史行情数据, 大量抓取容易封 IP",symbol,"新浪财经-债券-沪深债券-历史行情数据, 大量抓取容易封 IP\nhttps://vip.stock.finance.sina.com.cn/mkt/#hs_z\n:param symbol: 沪深债券代码; e.g., sh010107\n:type symbol: str\n:return: 指定沪深债券代码的日 K 线数据\n:rtype: pandas.DataFrame",
bond_zh_hs_spot,债券-沪深债券,"新浪财经-债券-沪深债券-实时行情数据, 大量抓取容易封IP",start_page;end_page,"新浪财经-债券-沪深债券-实时行情数据, 大量抓取容易封IP\nhttps://vip.stock.finance.sina.com.cn/mkt/#hs_z\n:return: 所有沪深债券在当前时刻的实时行情数据\n:rtype: pandas.DataFrame",
bond_zh_us_rate,中美国债收益率,东方财富网-数据中心-经济数据-中美国债收益率,start_date,东方财富网-数据中心-经济数据-中美国债收益率\nhttps://data.eastmoney.com/cjsj/zmgzsyl.html\n:param start_date: 开始统计时间\n:type start_date: str\n:return: 中美国债收益率\n:rtype: pandas.DataFrame,
business_value_artist,艺恩-艺人,艺恩-艺人-艺人商业价值,,艺恩-艺人-艺人商业价值\nhttps://www.endata.com.cn/Marketing/Artist/business.html\n:return: 艺人商业价值\n:rtype: pandas.DataFrame,
car_market_cate_cpca,汽车销量,乘联会-统计数据-车型大类,symbol;indicator,"乘联会-统计数据-车型大类\nhttp://data.cpcadata.com/CategoryMarket\n:param symbol: choice of {""轿车"", ""MPV"", ""SUV"", ""占比""}\n:type symbol: str\n:param indicator: choice of {""批发"", ""零售""}\n:type indicator: str\n:return: 统计数据-车型大类\n:rtype: pandas.DataFrame",
car_market_country_cpca,汽车销量,乘联会-统计数据-国别细分市场,,乘联会-统计数据-国别细分市场\nhttp://data.cpcadata.com/CountryMarket\n:return: 统计数据-车型大类\n:rtype: pandas.DataFrame,
car_market_fuel_cpca,汽车销量,乘联会-统计数据-新能源细分市场,symbol,"乘联会-统计数据-新能源细分市场\n:param symbol: choice of {""整体市场"", ""销量占比-PHEV-BEV"", ""销量占比-ICE-NEV""}\n:type symbol: str\nhttps://data.cpcadata.com/FuelMarket\n:return: 新能源细分市场\n:rtype: pandas.DataFrame",
car_market_man_rank_cpca,汽车销量,乘联会-统计数据-厂商排名,symbol;indicator,"乘联会-统计数据-厂商排名\nhttp://data.cpcadata.com/ManRank\n:param symbol: choice of {""狭义乘用车-单月"", ""狭义乘用车-累计"", ""广义乘用车-单月"", ""广义乘用车-累计""}\n:type symbol: str\n:param indicator: choice of {""批发"", ""零售""}\n:type indicator: str\n:return: 统计数据-厂商排名\n:rtype: pandas.DataFrame",
car_market_segment_cpca,汽车销量,乘联会-统计数据-级别细分市场,symbol,"乘联会-统计数据-级别细分市场\nhttp://data.cpcadata.com/SegmentMarket\n:param symbol: choice of {""轿车"", ""MPV"", ""SUV""}\n:type symbol: str\n:return: 统计数据-车型大类\n:rtype: pandas.DataFrame",
car_market_total_cpca,汽车销量,乘联会-统计数据-总体市场,symbol;indicator,"乘联会-统计数据-总体市场\nhttp://data.cpcadata.com/TotalMarket\n:param symbol: choice of {""狭义乘用车"", ""广义乘用车""}\n:type symbol: str\n:param indicator: choice of {""产量"", ""批发"", ""零售"", ""出口""}\n:type indicator: str\n:return: 统计数据-总体市场\n:rtype: pandas.DataFrame",
car_sale_rank_gasgoo,汽车销量,盖世汽车-汽车行业制造企业数据库-销量数据,symbol;date,"盖世汽车-汽车行业制造企业数据库-销量数据\nhttps://i.gasgoo.com/data/ranking\n:param symbol: choice of {""车企榜"", ""品牌榜"", ""车型榜""}\n:type symbol: str\n:param date: 查询的年份和月份\n:type date: str\n:return: 销量数据\n:rtype: pandas.DataFrame",
cost_living,成本-世界各大城市生活成本,国家或地区生活成本数据,symbol,"国家或地区生活成本数据\nhttps://expatistan.com/cost-of-living/index\n:param symbol: choice of {""europe"", ""north-america"", ""latin-america"",\n""asia"", ""middle-east"", ""africa"", ""oceania"", ""world""}\n:type symbol: str\n:return: 国家或地区生活成本数据\n:rtype: pandas.DataFrame",
crypto_bitcoin_cme,CME 比特币成交量,芝加哥商业交易所-比特币成交量报告,date,芝加哥商业交易所-比特币成交量报告\nhttps://datacenter.jin10.com/reportType/dc_cme_btc_report\n:return: 比特币成交量报告\n:rtype: pandas.DataFrame,
crypto_bitcoin_hold_report,比特币持仓,金十数据-比特币持仓报告,,金十数据-比特币持仓报告\nhttps://datacenter.jin10.com/dc_report?name=bitcoint\n:return: 比特币持仓报告\n:rtype: pandas.DataFrame,
crypto_js_spot,加密货币,"主流加密货币的实时行情数据, 一次请求返回具体某一时刻行情数据",,"主流加密货币的实时行情数据, 一次请求返回具体某一时刻行情数据\nhttps://datacenter.jin10.com/reportType/dc_bitcoin_current\n:return: pandas.DataFrame",
currency_boc_safe,人民币汇率中间价,人民币汇率中间价,,人民币汇率中间价\nhttps://www.safe.gov.cn/safe/rmbhlzjj/index.html\n:return: 人民币汇率中间价\n:rtype: pandas.DataFrame,
currency_boc_sina,中行人民币牌价历史数据查询,新浪财经-中行人民币牌价历史数据查询,symbol;start_date;end_date,"新浪财经-中行人民币牌价历史数据查询\nhttps://biz.finance.sina.com.cn/forex/forex.php?startdate=2012-01-01&enddate=2021-06-14&money_code=EUR&type=0\n:param symbol: choice of {'美元', '英镑', '欧元', '澳门元', '泰国铢', '菲律宾比索', '港币', '瑞士法郎', '新加坡元', '瑞典克朗', '丹麦克朗', '挪威克朗', '日元', '加拿大元', '澳大利亚元', '新西兰元', '韩国元'}\n:type symbol: str\n:param start_date: 开始交易日\n:type start_date: str\n:param end_date: 结束交易日\n:type end_date: str\n:return: 中行人民币牌价历史数据查询\n:rtype: pandas.DataFrame",
currency_convert,currency interface,currencies data from currencyscoop.com,base;to;amount;api_key,currencies data from currencyscoop.com\nhttps://currencyscoop.com/api-documentation\n:param base: The base currency you would like to use for your rates\n:type base: str\n:param to: The currency you would like to use for your rates\n:type to: str\n:param amount: The amount of base currency\n:type amount: str\n:param api_key: Account -> Account Details -> API KEY (use as password in external tools)\n:type api_key: str\n:return: Latest data of base currency\n:rtype: pandas.Series,
currency_currencies,currency interface,currencies data from currencyscoop.com,c_type;api_key,"currencies data from currencyscoop.com\nhttps://currencyscoop.com/api-documentation\n:param c_type: now only ""fiat"" can return data\n:type c_type: str\n:param api_key: Account -> Account Details -> API KEY (use as password in external tools)\n:type api_key: str\n:return: Latest data of base currency\n:rtype: pandas.DataFrame",
currency_history,currency interface,Latest data from currencyscoop.com,base;date;symbols;api_key,"Latest data from currencyscoop.com\nhttps://currencyscoop.com/api-documentation\n:param base: The base currency you would like to use for your rates\n:type base: str\n:param date: Specific date, e.g., ""2020-02-03""\n:type date: str\n:param symbols: A list of currencies you will like to see the rates for. You can refer to a list all supported currencies here\n:type symbols: str\n:param api_key: Account -> Account Details -> API KEY (use as password in external tools)\n:type api_key: str\n:return: Latest data of base currency\n:rtype: pandas.DataFrame",
currency_latest,currency interface,Latest data from currencyscoop.com,base;symbols;api_key,Latest data from currencyscoop.com\nhttps://currencyscoop.com/api-documentation\n:param base: The base currency you would like to use for your rates\n:type base: str\n:param symbols: A list of currencies you will like to see the rates for. You can refer to a list all supported currencies here\n:type symbols: str\n:param api_key: Account -> Account Details -> API KEY (use as password in external tools)\n:type api_key: str\n:return: Latest data of base currency\n:rtype: pandas.DataFrame,
currency_pair_map,英为财情-外汇-货币对历史数据,指定货币的所有可获取货币对的数据,symbol,指定货币的所有可获取货币对的数据\nhttps://cn.investing.com/currencies/cny-jmd\n:param symbol: 指定货币\n:type symbol: str\n:return: 指定货币的所有可获取货币对的数据\n:rtype: pandas.DataFrame,
currency_time_series,currency interface,Time-series data from currencyscoop.com,base;start_date;end_date;symbols;api_key,"Time-series data from currencyscoop.com\nP.S. need special authority\nhttps://currencyscoop.com/api-documentation\n:param base: The base currency you would like to use for your rates\n:type base: str\n:param start_date: Specific date, e.g., ""2020-02-03""\n:type start_date: str\n:param end_date: Specific date, e.g., ""2020-02-03""\n:type end_date: str\n:param symbols: A list of currencies you will like to see the rates for. You can refer to a list all supported currencies here\n:type symbols: str\n:param api_key: Account -> Account Details -> API KEY (use as password in external tools)\n:type api_key: str\n:return: Latest data of base currency\n:rtype: pandas.DataFrame",
drewry_wci_index,Drewry 集装箱指数,Drewry 集装箱指数,symbol,"Drewry 集装箱指数\nhttps://infogram.com/world-container-index-1h17493095xl4zj\n:param symbol: choice of {""composite"", ""shanghai-rotterdam"", ""rotterdam-shanghai"", ""shanghai-los angeles"",\n""los angeles-shanghai"", ""shanghai-genoa"", ""new york-rotterdam"", ""rotterdam-new york""}\n:type symbol: str\n:return: Drewry 集装箱指数\n:rtype: pandas.DataFrame",
energy_carbon_bj,能源-碳排放权,北京市碳排放权电子交易平台-北京市碳排放权公开交易行情,,北京市碳排放权电子交易平台-北京市碳排放权公开交易行情\nhttps://www.bjets.com.cn/article/jyxx/\n:return: 北京市碳排放权公开交易行情\n:rtype: pandas.DataFrame,
energy_carbon_domestic,能源-碳排放权,碳交易网-行情信息,symbol,"碳交易网-行情信息\nhttp://www.tanjiaoyi.com/\n:param symbol: choice of {'湖北', '上海', '北京', '重庆', '广东', '天津', '深圳', '福建'}\n:type symbol: str\n:return: 行情信息\n:rtype: pandas.DataFrame",
energy_carbon_eu,能源-碳排放权,深圳碳排放交易所-国际碳情,,深圳碳排放交易所-国际碳情\nhttp://www.cerx.cn/dailynewsOuter/index.htm\n:return: 国际碳情每日行情数据\n:rtype: pandas.DataFrame,
energy_carbon_gz,能源-碳排放权,广州碳排放权交易中心-行情信息,,广州碳排放权交易中心-行情信息\nhttp://www.cnemission.com/article/hqxx/\n:return: 行情信息数据\n:rtype: pandas.DataFrame,
